source_id,title,publisher,date_or_year,url,what_it_supports
SRC-EBARA-FW-308,Framework contract to supply Ebara spares for mainline pumps (KPC/PU/FW-308(MECH)NBI/23-24),Kenya Pipeline Company,2024-04 / close 2024-06-13,https://www.kpc.co.ke/tender-for-framework-contract-to-supply-ebara-spares-for-mainline-pumps-for-a-period-of-two-2-years-april/,Line 5 Ebara 350X300SPD5M pump tags serials mechanical seals auxiliary oil pump spare BOM
SRC-EBARA-PDF,Ebara mainline pump spares tender PDF,Kenya Pipeline Company,2024,https://www.kpc.co.ke/download/74/kpc-pu-fw-308mechnbi-23-24-tender/6601/framework-contract-for-ebara-spares-mainline-pumps-308-mechnbi-23-24.pdf,API 682 seals; 1000 m3/hr; commissioned 2018; Eagle seal LH-0076750; Taiko gear pump NHGS-4MFT
SRC-OT-124,Supply of spares for mainline pumps two years (KPC/PU/OT-124/MECH/NBI/24-25),Kenya Pipeline Company / GAA tender notice,2025-02,https://gaa.go.ke/sites/default/files/2025-02/Kenya%20Pipeline%20Company%20Limited%20tender%20notices.pdf,Ongoing mainline pump spare procurement
SRC-PS25-NEWS,Ag. MD inspects ongoing projects at PS25,Kenya Pipeline Company,2026-07-07,https://www.kpc.co.ke/ag-md-inspects-ongoing-projects-at-ps-25/,PS25 bottom loading facility; Fuel Facs upgrade; new loading pumps
SRC-OT-257,Truck loading shelters with fire fighting for BLF at PS25 and PS27 (KPC/PU/OT-257/MECH/NBI/25-26),Kenya Pipeline Company,2026-03,https://gaa.go.ke/sites/default/files/2026-02/Kenya%20Pipeline%20Company%20Limited%20Invitation%20to%20Tender%20_0.pdf,Bottom loading facilities exist at Nakuru and Eldoret
SRC-OT-222,Fuel Facs upgrade PS9 Embakasi and PS25 Nakuru (KPC/PU/OT-222/I&C/NBI/25-26),Kenya Pipeline Company,2026-02,https://www.tenderyetu.com/invitation-to-various-tender-february-2026-kpc/,Terminal automation / loading-system upgrade at depots
SRC-OT-219,Bareshaft mainline pumps Line IV PS24 Nakuru (KPC/PU/OT-219/MECH/NBI/25-26),Kenya Pipeline Company,2026-02,https://www.tenderyetu.com/invitation-to-various-tender-february-2026-kpc/,Mainline pump replacement at Nakuru pumping station
SRC-OT-104,Supply of 8 Class 600 ball valves with electro-hydraulic actuator (KPC/PU/OT-104/MECH/NBI/25-26),Kenya Pipeline Company / PPIP listing,2025-09 to 2025-10-21,https://tenders.go.ke/tenders/261745,Actuated ball valves in KPC mechanical inventory
SRC-OT-042,Hydrant pit valves PS12 Moi International Airport (KPC/PU/OT-042/MECH/NBI/24-25),KPC awarded contracts,award 2025-02,https://kenyapipeline.azurewebsites.net/2024/awarded_contracts.php,Aviation hydrant valves as a valve class KPC procures and maintains
SRC-PP-2024,KPC procurement plan items (loading meters; station valves; PS27 deluge valve),Kenya Pipeline Company,FY listed on portal,https://kenyapipeline.azurewebsites.net/2024/procurement_plans.php,Truck loading PD meters; assorted station valves; BLF hydrant deluge valve PS27
SRC-EPROC,KPC e-procurement portal,Kenya Pipeline Company,accessed 2026-09-12,https://www.kpc.co.ke/e-procurement/,Public tender index including Ebara FW-308
